,BURGLARY,COMMON ASSAULT,LARCENY,ROBBERY - STREET,AUTO THEFT,AGG. ASSAULT,LARCENY FROM AUTO,SHOOTING,ROBBERY - RESIDENCE,ROBBERY - COMMERCIAL,ARSON,HOMICIDE,ROBBERY - CARJACKING,RAPE
2014-10-17,24,18,30,7,6,13,28,1,3,7,0.0,0.0,0.0,1.0
2014-10-18,20,24,27,12,11,16,21,0,0,2,0.0,0.0,1.0,0.0
2014-10-19,17,13,30,3,11,8,24,0,1,1,2.0,0.0,0.0,0.0
2014-10-20,20,16,39,19,9,5,21,1,3,1,1.0,0.0,0.0,1.0
2014-10-21,18,20,27,12,8,18,19,0,0,1,0.0,0.0,0.0,0.0
2014-10-22,27,18,34,8,13,8,42,1,1,2,0.0,1.0,0.0,1.0
2014-10-23,27,19,28,12,6,13,24,2,1,4,1.0,1.0,2.0,0.0
2014-10-24,24,26,34,12,15,11,20,0,0,7,1.0,0.0,0.0,0.0
2014-10-25,21,23,28,5,11,12,21,3,0,6,4.0,1.0,2.0,0.0
2014-10-26,28,17,28,4,9,10,31,2,2,0,1.0,0.0,0.0,2.0
2014-10-27,31,18,30,6,3,15,27,1,1,1,0.0,0.0,0.0,1.0
2014-10-28,16,16,42,12,13,13,26,0,0,0,2.0,1.0,0.0,2.0
2014-10-29,30,20,46,9,14,4,21,2,1,2,0.0,1.0,0.0,0.0
2014-10-30,24,19,39,14,13,9,22,1,4,3,0.0,0.0,0.0,2.0
2014-10-31,36,25,32,6,12,9,27,0,1,1,0.0,1.0,0.0,1.0
2014-11-01,22,18,31,5,12,24,9,0,1,1,0.0,1.0,0.0,2.0
2014-11-02,19,14,25,5,14,13,20,1,0,4,0.0,1.0,0.0,1.0
2014-11-03,16,12,28,7,11,12,23,0,1,5,0.0,1.0,0.0,1.0
2014-11-04,16,14,26,4,13,13,9,2,2,1,1.0,0.0,0.0,1.0
2014-11-05,25,15,26,13,8,16,24,2,1,1,1.0,1.0,0.0,0.0
2014-11-06,24,19,23,7,11,12,21,1,1,2,0.0,0.0,1.0,0.0
2014-11-07,25,16,39,11,4,11,26,1,4,1,2.0,0.0,1.0,0.0
2014-11-08,15,22,24,7,11,13,11,4,0,0,0.0,0.0,0.0,2.0
