CrimeDateTime,HOMICIDE,AGG. ASSAULT,COMMON ASSAULT,LARCENY,AUTO THEFT,ROBBERY - CARJACKING,BURGLARY,LARCENY FROM AUTO,ROBBERY - COMMERCIAL,SHOOTING,ROBBERY - RESIDENCE,ROBBERY - STREET,ARSON,RAPE
2014-05-21 00:00:00+00:00,2,20,18,25,10,1.0,16,18,5,4,2.0,8.0,0.0,1.0
2014-05-22 00:00:00+00:00,1,19,25,30,7,0.0,27,32,2,4,0.0,13.0,0.0,0.0
2014-05-23 00:00:00+00:00,1,16,25,43,6,0.0,25,16,1,2,0.0,7.0,2.0,0.0
2014-05-24 00:00:00+00:00,1,19,17,32,10,0.0,10,20,1,0,1.0,10.0,1.0,2.0
2014-05-25 00:00:00+00:00,0,15,21,27,16,0.0,18,21,3,0,0.0,4.0,1.0,2.0
2014-05-26 00:00:00+00:00,1,20,30,17,11,0.0,12,18,2,2,1.0,3.0,1.0,3.0
2014-05-27 00:00:00+00:00,2,20,24,33,8,0.0,20,18,1,0,1.0,8.0,4.0,3.0
2014-05-28 00:00:00+00:00,0,9,18,35,8,2.0,17,17,6,3,0.0,13.0,0.0,0.0
2014-05-29 00:00:00+00:00,0,8,18,34,6,1.0,22,12,4,1,2.0,5.0,1.0,0.0
2014-05-30 00:00:00+00:00,0,13,19,34,14,0.0,23,12,1,1,0.0,7.0,0.0,1.0
2014-05-31 00:00:00+00:00,2,14,18,25,10,0.0,14,26,3,0,0.0,10.0,2.0,1.0
2014-06-01 00:00:00+00:00,2,12,13,32,10,0.0,11,22,2,0,2.0,6.0,1.0,4.0
2014-06-02 00:00:00+00:00,1,13,29,37,9,0.0,21,14,1,4,4.0,13.0,0.0,0.0
2014-06-03 00:00:00+00:00,2,11,23,24,8,0.0,26,15,2,0,0.0,8.0,1.0,0.0
2014-06-04 00:00:00+00:00,0,7,23,48,14,1.0,21,12,2,0,0.0,11.0,1.0,1.0
2014-06-05 00:00:00+00:00,0,12,27,32,8,2.0,15,16,0,0,2.0,6.0,0.0,0.0
2014-06-06 00:00:00+00:00,1,10,29,37,10,0.0,19,18,2,1,2.0,3.0,0.0,1.0
2014-06-07 00:00:00+00:00,1,9,31,33,5,0.0,12,22,2,0,0.0,3.0,0.0,1.0
2014-06-08 00:00:00+00:00,2,19,19,35,12,0.0,19,10,3,2,5.0,8.0,1.0,1.0
2014-06-09 00:00:00+00:00,0,11,29,39,9,1.0,20,26,1,1,2.0,9.0,0.0,0.0
2014-06-10 00:00:00+00:00,0,13,21,32,7,1.0,19,10,3,1,0.0,5.0,0.0,0.0
2014-06-11 00:00:00+00:00,0,8,23,34,13,1.0,20,15,0,0,0.0,8.0,1.0,2.0
2014-06-12 00:00:00+00:00,0,15,24,29,11,0.0,29,10,0,1,0.0,8.0,1.0,0.0
2014-06-13 00:00:00+00:00,0,13,17,33,4,0.0,18,19,2,0,1.0,8.0,0.0,1.0
2014-06-14 00:00:00+00:00,1,19,24,41,12,2.0,18,16,2,0,0.0,8.0,2.0,1.0
2014-06-15 00:00:00+00:00,0,16,32,32,12,0.0,13,30,0,4,0.0,10.0,0.0,0.0
2014-06-16 00:00:00+00:00,1,13,22,44,11,0.0,17,31,0,2,0.0,6.0,1.0,1.0
2014-06-17 00:00:00+00:00,0,10,23,32,12,0.0,17,19,0,1,0.0,8.0,1.0,0.0
2014-06-18 00:00:00+00:00,0,9,18,36,16,1.0,14,23,2,0,4.0,4.0,0.0,0.0
2014-06-19 00:00:00+00:00,0,7,17,26,12,0.0,34,20,4,2,1.0,11.0,0.0,0.0
2014-06-20 00:00:00+00:00,0,5,21,46,12,1.0,24,21,3,0,0.0,17.0,0.0,1.0
2014-06-21 00:00:00+00:00,2,9,18,29,12,0.0,17,30,4,0,1.0,7.0,0.0,1.0
2014-06-22 00:00:00+00:00,0,7,27,24,11,0.0,14,13,1,1,0.0,4.0,0.0,0.0
2014-06-23 00:00:00+00:00,0,20,21,33,6,0.0,26,26,1,1,0.0,2.0,2.0,1.0
2014-06-24 00:00:00+00:00,0,19,25,29,17,0.0,15,36,6,3,2.0,7.0,0.0,1.0
2014-06-25 00:00:00+00:00,0,10,14,37,15,0.0,18,24,1,2,1.0,4.0,0.0,1.0
2014-06-26 00:00:00+00:00,1,5,20,29,18,0.0,24,19,0,1,3.0,6.0,0.0,1.0
2014-06-27 00:00:00+00:00,0,7,22,36,8,1.0,27,25,1,0,2.0,11.0,1.0,1.0
2014-06-28 00:00:00+00:00,0,14,27,40,15,0.0,23,23,5,0,4.0,8.0,0.0,0.0
2014-06-29 00:00:00+00:00,3,15,12,24,12,1.0,12,33,0,1,0.0,7.0,1.0,0.0
2014-06-30 00:00:00+00:00,0,7,14,30,8,0.0,16,24,2,3,4.0,7.0,0.0,0.0
2014-07-01 00:00:00+00:00,1,27,21,31,12,1.0,31,18,2,2,2.0,3.0,0.0,1.0
2014-07-02 00:00:00+00:00,0,11,22,22,11,0.0,19,18,0,2,1.0,10.0,0.0,2.0
2014-07-03 00:00:00+00:00,0,8,11,34,9,1.0,33,17,1,1,0.0,2.0,2.0,0.0
2014-07-04 00:00:00+00:00,2,10,23,19,9,0.0,16,16,1,0,4.0,9.0,0.0,1.0
2014-07-05 00:00:00+00:00,3,16,21,34,1,0.0,17,18,1,4,3.0,8.0,0.0,0.0
2014-07-06 00:00:00+00:00,0,7,25,31,17,0.0,17,27,3,1,2.0,5.0,2.0,3.0
2014-07-07 00:00:00+00:00,0,10,21,31,13,1.0,24,24,1,1,0.0,8.0,1.0,0.0
2014-07-08 00:00:00+00:00,1,10,10,35,13,0.0,14,27,1,1,0.0,9.0,0.0,0.0
2014-07-09 00:00:00+00:00,0,9,18,39,15,1.0,22,25,1,0,1.0,9.0,0.0,1.0
2014-07-10 00:00:00+00:00,0,10,29,32,12,1.0,21,22,4,0,0.0,1.0,2.0,1.0
2014-07-11 00:00:00+00:00,0,16,18,31,15,0.0,23,22,0,1,1.0,7.0,1.0,0.0
2014-07-12 00:00:00+00:00,0,12,21,39,10,0.0,18,16,2,1,0.0,9.0,0.0,1.0
2014-07-13 00:00:00+00:00,0,13,22,26,16,0.0,13,29,0,0,3.0,5.0,0.0,1.0
2014-07-14 00:00:00+00:00,0,8,24,29,10,0.0,29,27,1,2,1.0,7.0,0.0,0.0
2014-07-15 00:00:00+00:00,1,11,14,27,18,0.0,26,22,3,1,1.0,7.0,0.0,1.0
2014-07-16 00:00:00+00:00,4,6,17,35,14,0.0,24,31,1,0,1.0,8.0,0.0,0.0
2014-07-17 00:00:00+00:00,3,13,19,31,16,0.0,17,25,1,1,1.0,1.0,0.0,1.0
2014-07-18 00:00:00+00:00,0,18,19,40,9,0.0,18,19,1,2,3.0,0.0,1.0,0.0
2014-07-19 00:00:00+00:00,0,13,36,25,10,0.0,16,18,0,0,1.0,8.0,0.0,0.0
2014-07-20 00:00:00+00:00,1,15,20,44,10,0.0,15,30,1,0,2.0,12.0,3.0,0.0
2014-07-21 00:00:00+00:00,0,18,17,46,10,0.0,24,16,2,1,0.0,8.0,2.0,1.0
2014-07-22 00:00:00+00:00,0,16,19,37,15,0.0,23,12,2,1,2.0,5.0,0.0,0.0
2014-07-23 00:00:00+00:00,1,10,22,28,14,1.0,16,32,1,4,0.0,2.0,0.0,0.0
2014-07-24 00:00:00+00:00,0,12,20,38,9,0.0,29,25,3,1,0.0,6.0,2.0,0.0
2014-07-25 00:00:00+00:00,0,10,13,40,16,0.0,27,26,2,4,0.0,13.0,0.0,1.0
2014-07-26 00:00:00+00:00,1,11,19,30,9,0.0,21,33,1,1,3.0,5.0,2.0,0.0
2014-07-27 00:00:00+00:00,0,15,26,36,5,1.0,15,28,2,4,7.0,11.0,0.0,1.0
2014-07-28 00:00:00+00:00,0,9,12,29,6,0.0,15,21,2,1,0.0,5.0,1.0,0.0
2014-07-29 00:00:00+00:00,0,17,17,43,14,0.0,18,18,0,3,2.0,6.0,0.0,0.0
2014-07-30 00:00:00+00:00,1,14,14,47,8,0.0,18,20,1,5,1.0,6.0,1.0,0.0
2014-07-31 00:00:00+00:00,2,13,22,27,10,0.0,16,29,0,4,1.0,5.0,2.0,0.0
2014-08-01 00:00:00+00:00,2,23,20,56,14,0.0,27,17,3,6,3.0,7.0,2.0,2.0
2014-08-02 00:00:00+00:00,0,17,18,27,6,1.0,13,23,1,0,1.0,4.0,0.0,0.0
2014-08-03 00:00:00+00:00,1,15,22,32,15,0.0,16,19,1,3,2.0,4.0,0.0,0.0
2014-08-04 00:00:00+00:00,0,11,18,38,6,0.0,22,18,3,1,1.0,6.0,1.0,1.0
2014-08-05 00:00:00+00:00,1,6,17,34,9,0.0,15,18,2,1,0.0,10.0,1.0,1.0
2014-08-06 00:00:00+00:00,0,10,23,36,10,0.0,16,30,3,0,4.0,8.0,1.0,2.0
2014-08-07 00:00:00+00:00,1,14,19,33,8,1.0,16,26,4,1,2.0,6.0,0.0,2.0
2014-08-08 00:00:00+00:00,0,12,24,50,10,1.0,19,18,2,4,0.0,7.0,0.0,1.0
2014-08-09 00:00:00+00:00,3,9,20,20,15,0.0,17,15,0,1,1.0,2.0,0.0,1.0
2014-08-10 00:00:00+00:00,1,16,24,29,14,2.0,20,34,3,0,4.0,8.0,1.0,1.0
2014-08-11 00:00:00+00:00,3,19,17,50,11,0.0,25,23,0,3,4.0,9.0,2.0,0.0
2014-08-12 00:00:00+00:00,0,6,11,19,11,0.0,14,15,2,1,2.0,5.0,0.0,1.0
2014-08-13 00:00:00+00:00,0,11,21,28,7,0.0,21,22,2,2,1.0,6.0,0.0,0.0
2014-08-14 00:00:00+00:00,0,10,12,44,11,0.0,24,33,3,1,2.0,4.0,1.0,0.0
2014-08-15 00:00:00+00:00,1,4,27,41,12,0.0,32,27,3,0,3.0,10.0,0.0,1.0
2014-08-16 00:00:00+00:00,1,12,24,30,9,0.0,12,14,2,0,0.0,5.0,1.0,0.0
2014-08-17 00:00:00+00:00,0,14,15,30,10,2.0,12,15,0,1,2.0,11.0,1.0,3.0
2014-08-18 00:00:00+00:00,0,10,15,39,8,1.0,23,19,1,3,2.0,18.0,0.0,3.0
2014-08-19 00:00:00+00:00,0,12,9,36,19,0.0,23,27,4,1,1.0,7.0,0.0,0.0
2014-08-20 00:00:00+00:00,2,13,17,43,12,0.0,13,26,1,0,0.0,9.0,0.0,0.0
2014-08-21 00:00:00+00:00,1,10,15,24,13,1.0,16,21,0,1,2.0,5.0,1.0,0.0
2014-08-22 00:00:00+00:00,2,5,16,27,7,0.0,14,31,3,2,2.0,15.0,0.0,0.0
2014-08-23 00:00:00+00:00,0,14,19,28,8,1.0,29,13,2,3,0.0,13.0,0.0,0.0
2014-08-24 00:00:00+00:00,3,13,11,23,10,0.0,10,21,1,1,2.0,5.0,2.0,1.0
2014-08-25 00:00:00+00:00,0,15,31,34,11,2.0,19,22,5,0,1.0,14.0,0.0,0.0
2014-08-26 00:00:00+00:00,1,8,19,37,10,0.0,19,15,1,2,1.0,14.0,3.0,1.0
2014-08-27 00:00:00+00:00,1,14,13,37,9,2.0,21,16,1,3,2.0,13.0,2.0,0.0
2014-08-28 00:00:00+00:00,0,12,21,28,10,2.0,20,16,1,1,0.0,6.0,1.0,1.0
2014-08-29 00:00:00+00:00,1,11,25,53,6,0.0,20,17,1,0,1.0,11.0,1.0,1.0
2014-08-30 00:00:00+00:00,0,10,18,25,10,0.0,18,18,3,0,2.0,7.0,0.0,0.0
2014-08-31 00:00:00+00:00,1,22,27,26,11,1.0,9,23,2,5,0.0,5.0,0.0,0.0
