id,release_date,movie,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres,revenue-domestic,revenue-worldwide,lost_money,roi-domestic,roi-worldwide,release_month
85,2010-05-14,Just Wright,12000000.0,21540363.0,21867665.0,tt1407061,Just Wright,Just Wright,2010,100.0,"Comedy,Romance,Sport",9540363.0,9867665.0,False,79.50302500000001,82.23054166666667,5
91,2013-11-15,Nebraska,12000000.0,17654912.0,24761360.0,tt1821549,Nebraska,Nebraska,2013,115.0,"Adventure,Comedy,Drama",5654912.0,12761360.0,False,47.124266666666664,106.34466666666667,11
94,2011-12-09,Young Adult,12000000.0,16311571.0,22750356.0,tt1625346,Young Adult,Young Adult,2011,94.0,"Comedy,Drama",4311571.0,10750356.0,False,35.92975833333333,89.5863,12
95,2013-11-01,About Time,12000000.0,15323921.0,89309178.0,tt2194499,About Time,About Time,2013,123.0,"Comedy,Drama,Fantasy",3323921.0,77309178.0,False,27.699341666666665,644.24315,11
96,2018-12-14,If Beale Street Could Talk,12000000.0,14915773.0,19859167.0,tt7125860,If Beale Street Could Talk,If Beale Street Could Talk,2018,119.0,"Drama,Romance",2915773.0,7859167.0,False,24.29810833333333,65.49305833333334,12
97,2017-07-14,Wish Upon,12000000.0,14301505.0,23477345.0,tt5322012,Wish Upon,Wish Upon,2017,90.0,"Drama,Fantasy,Horror",2301505.0,11477345.0,False,19.179208333333335,95.64454166666667,7
7,2017-10-13,Marshall,12000000.0,10051659.0,10116816.0,tt5301662,Marshall,Marshall,2017,118.0,"Biography,Crime,Drama",-1948341.0,-1883184.0,True,-16.236175,-15.6932,10
9,2012-09-14,Arbitrage,12000000.0,7919574.0,35830713.0,tt1764183,Arbitrage,Arbitrage,2012,107.0,"Drama,Thriller",-4080426.0,23830713.0,True,-34.00355,198.58927500000001,9
11,2000-05-12,Screwed,12000000.0,6982680.0,6982680.0,tt1727816,Screwed,Screwed,2011,110.0,"Crime,Drama",-5017320.0,-5017320.0,True,-41.811,-41.811,5
11,2000-05-12,Screwed,12000000.0,6982680.0,6982680.0,tt1956618,Screwed,Screwed,2013,96.0,"Comedy,Romance",-5017320.0,-5017320.0,True,-41.811,-41.811,5
11,2000-05-12,Screwed,12000000.0,6982680.0,6982680.0,tt9143490,Screwed,Screwed,2018,97.0,Documentary,-5017320.0,-5017320.0,True,-41.811,-41.811,5
14,2012-06-01,For Greater Glory: The True Story of Cristiada,12000000.0,5669081.0,10026255.0,tt1566501,For Greater Glory: The True Story of Cristiada,For Greater Glory: The True Story of Cristiada,2012,145.0,"Drama,History,War",-6330919.0,-1973745.0,True,-52.75765833333333,-16.447875,6
23,2013-11-15,La grande bellezza,12000000.0,2883879.0,29549145.0,tt2358891,The Great Beauty,La grande bellezza,2013,141.0,Drama,-9116121.0,17549145.0,True,-75.967675,146.242875,11
29,2013-03-01,Stoker,12000000.0,1703125.0,12034913.0,tt1682180,Stoker,Stoker,2013,99.0,"Drama,Thriller",-10296875.0,34913.0,True,-85.80729166666666,0.29094166666666665,3
32,2011-03-11,Kill the Irishman,12000000.0,1188194.0,1188194.0,tt1416801,Kill the Irishman,Kill the Irishman,2011,106.0,"Biography,Crime,Drama",-10811806.0,-10811806.0,True,-90.09838333333333,-90.09838333333333,3
32,2011-03-11,Kill the Irishman,12000000.0,1188194.0,1188194.0,tt6869532,Kill the Irishman,Kill the Irishman,2017,,Crime,-10811806.0,-10811806.0,True,-90.09838333333333,-90.09838333333333,3
33,2005-09-30,Duma,12000000.0,870067.0,994790.0,tt2112940,Duma,Duma,2011,55.0,"Biography,Crime,Documentary",-11129933.0,-11005210.0,True,-92.74944166666667,-91.71008333333333,9
34,2012-04-20,Darling Companion,12000000.0,793352.0,1200346.0,tt1730687,Darling Companion,Darling Companion,2012,103.0,"Comedy,Drama,Romance",-11206648.0,-10799654.0,True,-93.38873333333333,-89.99711666666667,4
